feature_set,feature_count,model,selection_objective,return_weight,sharpe_weight,valid_selection_score,valid_return_score,valid_sharpe_score,mapping_type,center_prob,sharpness,min_position,max_position,smoothing_window,smoothing_method,valid_accuracy,test_accuracy,valid_auc,test_auc,valid_cumulative_return,valid_max_drawdown,valid_sharpe,cumulative_return,annualized_return,max_drawdown,sharpe,excess_return_vs_buy_hold,lower_prob,upper_prob,power
market,12,logistic_regression,weighted_valid_return_sharpe,0.5,0.5,1.2356037227912986,1.265179543117749,1.2060279024648481,sigmoid,0.6,4.0,0.0,1.0,10,sma,0.48760330578512395,0.6234177215189873,0.5736434108527132,0.6182065217391304,0.11799967711811488,-0.34120831886086533,0.5267950711193794,0.5416461083818103,0.4122508413954895,-0.0867042279184943,2.377269354223586,-0.4511239577147168,,,
market,12,random_forest,weighted_valid_return_sharpe,0.5,0.5,1.2470138126345074,1.3494972306455426,1.1445303946234722,power,,,0.0,1.0,3,sma,0.5247933884297521,0.6518987341772152,0.5761130548123757,0.5672554347826086,0.1258637466549235,-0.44392172215650205,0.4999328534619346,0.6589254511281293,0.4972867189308756,-0.13557901263110417,1.960630281041898,-0.3338446149683978,0.5,0.6,3.0
market,12,gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.4551685691880345,1.6420326689933409,1.268304469382728,power,,,0.0,1.0,1,sma,0.5206611570247934,0.43037974683544306,0.48315840021952394,0.5381162655279503,0.1531476902330673,-0.45236720764915417,0.553997583127207,0.4672261317340052,0.357613447479719,-0.15158700226230326,1.4184075725656706,-0.5255439343625219,0.3,0.5,0.5
market,12,hist_gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.0327435293520928,1.050827034974311,1.0146600237298744,linear_clipped,,,0.0,0.9,1,sma,0.5247933884297521,0.6677215189873418,0.5716539754407629,0.5456618788819876,0.0980076318088352,-0.4220677851898551,0.44320525111428744,0.7699639510711975,0.5766807994779768,-0.15901961576112777,2.0218462587894286,-0.22280611502532954,0.5,0.5,
market,12,lightgbm,weighted_valid_return_sharpe,0.5,0.5,1.046982500619682,1.0702999983401023,1.023665002899262,linear_clipped,,,0.0,0.9,2,sma,0.5371900826446281,0.6772151898734177,0.5446936955477808,0.5562888198757765,0.09982381940228446,-0.41169532746186055,0.44713864157090194,0.7212686899294227,0.5419910391089897,-0.15777698379751637,1.9487104333277916,-0.27150137616710435,0.5,0.5,
composite,28,logistic_regression,weighted_valid_return_sharpe,0.5,0.5,4.239949836670684,5.6343331041511995,2.8455665691901695,linear_clipped,,,0.0,1.0,3,sma,0.5661157024793388,0.6867088607594937,0.5973794333539137,0.633685947204969,0.5254981324052839,-0.41488913361921986,1.2429483929250598,1.0734542302914836,0.7887671243070271,-0.14618825927768064,2.688602916834085,0.0806841641949565,0.5,0.5,
composite,28,random_forest,weighted_valid_return_sharpe,0.5,0.5,2.3029466986168448,2.8458057338599314,1.7600876633737583,power,,,0.0,1.0,10,ewma,0.5413223140495868,0.6392405063291139,0.5818755573849214,0.6458656832298136,0.2654201607693074,-0.39113710767066334,0.7688093317810666,0.7764023469910597,0.5812528468410851,-0.13031825605300595,2.328564670511281,-0.21636771910546737,0.5,0.55,3.0
composite,28,gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.9458863887012987,2.331771930711724,1.5600008466908735,power,,,0.0,1.0,10,ewma,0.5413223140495868,0.6360759493670886,0.5353639294779446,0.5997670807453415,0.2174776982712081,-0.41582851063227977,0.6814110646190158,0.7042366442824279,0.5298109590239461,-0.13155004209679932,2.2698117582263975,-0.28853342181409913,0.5,0.55,3.0
composite,28,hist_gradient_boosting,weighted_valid_return_sharpe,0.5,0.5,1.8793953672280121,2.2306368300293737,1.5281539044266503,power,,,0.0,1.0,5,sma,0.5371900826446281,0.6677215189873418,0.6028675310420526,0.6422263198757764,0.20804511671332349,-0.40840792215679844,0.6675002652247993,0.8530835551275504,0.6354519403689887,-0.11778311294102428,2.793369314920686,-0.13968651096897666,0.5,0.65,3.0
composite,28,lightgbm,weighted_valid_return_sharpe,0.5,0.5,1.5461976562006745,1.7572820980166943,1.3351132143846545,power,,,0.0,1.0,10,ewma,0.5371900826446281,0.6518987341772152,0.5647252521094874,0.6499417701863354,0.16389667482326242,-0.38710001018556395,0.583179758351144,0.7273761361515363,0.546352685327963,-0.12095587494897919,2.3308570713251853,-0.2653939299449908,0.5,0.65,3.0
